CODE,PP1,PP2,PP3,PP4,PQ1,PQ2,PQ3,PQ4,CE1,CE2,CE3,CE4,CE5,CE6,Sex,Age,Child,Edu,Income,WTP,Consumption,PERDEN,X1,X2,X3
71,3,2,4,3,4,3,3,3,4,3,3,3,3,4,0,25,0.0,1,0,3.00,2.00,1,3.00,3.00,3.00
72,3,3,3,3,4,4,4,4,5,3,3,2,3,4,1,20,1.0,0,1,0.00,3.00,0,3.00,4.50,3.00
73,3,3,3,2,3,3,3,3,2,3,2,2,2,2,1,22,0.0,0,0,1.00,0.00,0,2.75,3.00,3.00
74,3,3,3,3,4,4,2,3,2,2,2,2,2,4,1,21,1.0,1,0,3.00,3.00,1,3.00,5.00,2.75
75,3,3,3,2,3,3,3,3,4,2,2,2,3,5,0,23,0.0,0,1,2.00,0.00,0,2.75,2.75,2.75
76,2,3,3,3,4,4,3,3,4,3,3,3,3,5,1,20,1.0,1,0,1.00,2.00,0,2.75,2.50,3.00
77,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,27,1.0,1,0,3.00,1.00,1,3.00,3.25,4.50
78,2,3,2,3,3,2,3,3,2,2,2,3,3,2,1,20,0.0,1,1,1.00,2.00,0,2.50,3.00,3.00
79,4,4,4,3,4,2,3,3,4,2,2,2,2,4,1,20,1.0,0,1,5.00,3.00,1,3.75,3.75,5.00
80,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,21,1.0,1,0,4.00,2.00,1,4.00,2.50,2.75
81,2,3,3,3,4,3,3,3,4,2,4,3,3,3,1,20,1.0,1,0,4.00,3.00,1,2.75,3.25,2.50
82,3,3,3,2,2,2,4,3,2,2,2,2,2,2,0,33,1.0,1,0,2.00,3.00,0,2.75,4.50,3.25
83,4,4,4,2,3,4,4,3,4,3,2,2,4,5,0,22,0.0,1,1,2.00,1.00,1,3.50,3.75,3.00
84,3,3,3,4,3,3,2,2,4,3,3,3,3,4,1,21,1.0,1,0,1.00,2.00,0,3.25,2.75,3.75
85,4,4,4,2,3,4,4,3,4,3,2,2,3,4,0,22,0.0,0,1,2.00,0.00,0,3.50,3.25,2.50
86,5,4,4,4,4,4,4,4,4,4,3,3,3,3,0,21,1.0,1,0,3.00,2.00,1,4.25,4.00,3.25
87,3,3,3,3,3,3,3,2,3,3,3,4,2,4,1,22,0.0,1,0,2.00,2.00,0,3.00,4.00,4.50
88,3,3,3,2,2,2,2,2,2,2,2,2,2,2,0,20,0.0,0,1,2.00,1.00,1,2.75,3.25,3.75
89,1,1,1,1,1,1,1,1,2,2,3,2,3,2,1,25,1.0,1,0,2.00,3.00,0,1.00,4.00,2.75
90,3,5,5,4,4,3,3,5,3,4,3,4,4,2,1,23,1.0,0,0,3.00,2.00,1,4.25,3.00,3.25
91,3,4,2,2,2,1,4,4,3,4,2,2,3,2,1,22,0.0,0,0,5.00,1.00,1,2.75,3.25,4.00
92,4,4,4,4,4,2,3,2,1,2,2,4,4,4,0,23,1.0,0,1,2.00,3.00,1,4.00,3.00,4.00
93,2,4,4,3,4,3,3,3,2,4,4,5,4,4,1,20,0.0,1,1,2.00,0.00,0,3.25,3.50,3.25
94,3,2,4,4,4,4,4,4,2,2,4,2,2,4,0,27,0.0,1,0,3.00,2.00,1,3.25,3.00,4.00
95,4,3,4,4,5,5,5,4,2,4,3,4,3,4,0,20,1.0,1,0,3.00,3.00,1,3.75,2.75,3.00
96,3,2,4,4,4,3,4,4,3,3,3,4,3,4,1,23,0.0,1,0,3.00,1.00,1,3.25,3.00,3.25
97,4,4,4,4,4,4,4,4,4,4,2,2,2,2,0,22,1.0,1,0,3.00,1.00,1,4.00,4.00,3.00
98,4,4,4,3,4,3,2,3,4,3,3,2,3,4,1,22,1.0,1,0,5.00,3.00,1,3.75,3.25,3.50
99,3,3,3,2,3,3,3,3,3,4,3,3,3,3,1,21,0.0,0,1,3.00,0.00,1,2.75,2.75,3.00
100,4,4,4,4,4,4,4,4,2,3,4,5,4,5,1,22,1.0,1,1,2.00,1.00,1,4.00,3.50,2.75
101,3,3,3,3,3,3,3,4,4,3,3,3,4,3,1,37,0.0,1,0,2.00,2.00,0,3.00,2.50,3.00
102,3,3,3,2,4,4,4,4,3,2,2,3,3,2,1,22,1.0,1,0,3.00,3.00,1,2.75,3.50,4.00
103,3,2,2,3,4,4,3,4,3,2,3,2,3,3,1,21,0.0,1,1,0.00,0.00,0,2.50,4.00,3.50
104,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0,22,1.0,1,0,2.00,2.00,1,2.00,2.75,2.50
105,4,3,3,4,3,4,4,2,2,1,2,4,2,5,0,28,1.0,1,1,2.00,3.00,0,3.50,2.00,3.50
106,3,2,2,3,3,3,3,3,2,2,2,2,2,2,1,30,0.0,0,1,1.00,0.00,0,2.50,1.00,4.00
107,3,3,3,2,3,3,3,2,2,1,1,3,2,4,1,26,1.0,1,0,2.00,1.00,0,2.75,3.75,2.75
108,4,4,3,3,5,5,4,4,4,3,3,3,4,3,1,21,1.0,1,1,2.00,3.00,0,3.50,2.75,2.00
109,4,5,5,4,4,4,5,4,3,4,2,3,2,4,0,32,1.0,0,0,2.00,3.00,0,4.50,2.75,1.00
110,3,3,3,3,5,5,5,3,3,5,3,4,4,4,0,22,1.0,1,0,2.00,3.00,0,3.00,3.25,3.75
111,3,2,4,2,3,1,2,2,1,2,2,3,2,3,1,27,0.0,0,1,1.00,0.00,0,2.75,4.00,2.75
112,1,3,4,4,4,4,3,4,3,4,4,3,3,4,0,25,1.0,1,1,4.00,1.00,1,3.00,4.75,2.75
113,4,5,5,4,4,3,3,4,2,3,2,4,4,5,1,30,1.0,1,0,0.00,3.00,0,4.50,3.75,3.25
114,3,4,3,3,2,4,3,2,2,1,2,5,3,3,1,23,0.0,0,1,1.00,1.00,0,3.25,4.00,4.00
115,4,5,4,4,4,4,5,4,3,3,2,3,4,5,0,36,0.0,0,0,1.00,1.00,0,4.25,3.00,4.75
116,3,4,3,4,3,4,4,4,4,4,3,3,2,5,0,41,1.0,0,1,1.00,1.00,0,3.50,3.00,3.75
117,3,3,4,4,4,4,4,3,3,3,4,3,3,4,0,23,1.0,1,0,2.00,3.00,0,3.50,4.00,4.00
118,3,3,4,4,3,3,2,3,3,3,3,3,3,4,1,24,1.0,1,0,2.00,0.00,0,3.50,3.25,3.00
119,4,3,3,4,3,3,2,2,2,1,2,5,3,3,1,22,1.0,1,0,2.00,3.00,0,3.50,4.00,3.00
120,4,5,5,4,4,4,2,3,3,2,2,2,3,2,0,23,0.0,1,0,3.00,1.00,1,4.50,3.75,4.00
121,3,2,3,3,4,3,3,3,2,1,1,1,1,4,0,22,1.0,1,0,2.00,1.00,0,2.75,1.00,3.25
122,4,2,3,4,3,3,4,3,4,4,4,3,3,4,0,50,1.0,0,0,3.00,2.00,1,3.25,3.25,4.00
123,4,3,3,4,5,5,5,5,5,5,5,5,5,5,0,19,0.0,1,0,3.00,1.00,1,3.50,3.00,3.75
124,3,2,2,2,3,4,4,4,2,3,3,3,2,3,0,21,1.0,1,0,1.00,1.00,0,2.25,2.75,1.00
125,2,3,3,3,3,3,2,3,2,3,2,2,3,3,1,22,1.0,0,0,2.00,2.00,0,2.75,4.50,3.25
126,4,3,3,3,3,3,3,3,2,4,3,3,3,3,1,22,0.0,1,1,1.00,1.00,0,3.25,4.25,3.00
127,3,2,3,3,3,4,2,2,3,2,3,3,3,3,0,23,1.0,0,0,2.00,3.00,0,2.75,4.50,2.75
128,3,3,2,3,2,3,2,3,2,2,2,2,2,3,0,22,1.0,0,0,1.00,0.00,0,2.75,2.00,4.50
129,4,3,3,3,3,4,4,4,3,4,3,2,3,3,1,23,1.0,0,0,2.00,0.00,0,3.25,3.75,4.25
130,3,3,3,3,3,2,2,2,1,1,2,2,2,2,1,17,0.0,1,1,3.00,1.00,1,3.00,3.50,4.50
131,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,25,1.0,1,0,2.00,2.00,0,4.00,2.75,2.00
132,3,3,3,2,3,3,3,3,2,3,2,2,2,4,0,21,1.0,0,1,1.00,0.00,0,2.75,4.25,3.75
133,3,2,3,2,3,4,2,3,2,2,3,2,2,3,0,25,0.0,1,0,4.00,2.00,1,2.50,3.75,3.50
134,2,3,2,3,2,2,3,3,1,1,3,2,2,3,0,21,1.0,1,0,3.00,1.00,1,2.50,3.75,2.75
135,3,2,3,2,3,3,3,3,2,2,3,2,2,4,1,28,1.0,0,0,1.00,3.00,0,2.50,2.75,4.25
136,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,22,0.0,0,0,3.00,1.00,1,3.00,2.50,3.75
137,3,3,3,4,4,3,1,3,4,4,3,2,1,4,1,21,1.0,0,1,1.00,0.00,0,3.25,3.25,3.75
138,4,2,3,3,3,2,3,3,4,4,3,2,3,3,1,27,0.0,0,1,2.00,1.00,0,3.00,3.25,2.75
139,1,3,4,3,2,2,2,2,3,3,3,3,3,3,0,18,1.0,0,0,0.00,0.00,0,2.75,3.25,2.50
140,3,2,4,4,4,3,4,4,2,3,4,4,2,3,0,21,1.0,1,0,5.00,2.00,1,3.25,5.00,3.25
141,3,3,2,2,2,2,2,2,2,4,2,2,3,3,0,19,1.0,1,0,5.00,1.00,1,2.50,3.75,3.25
142,3,3,3,2,3,3,3,3,2,2,2,2,2,2,0,25,1.0,0,0,1.00,0.00,0,2.75,2.75,3.25
143,3,3,3,4,3,3,3,3,3,3,3,3,3,3,1,23,0.0,1,0,3.00,1.00,1,3.25,3.00,5.00
144,4,3,4,2,3,3,2,3,2,2,2,2,2,2,1,27,1.0,1,0,2.00,1.00,0,3.25,2.75,3.75
